Plataforma,Año_de_Lanzamiento,Género,Editor,Ventas_NA,Ventas_EU,Ventas_JP,Otras_Ventas,Ventas_Globales,Puntuación_Crítica,Número_Críticas,Puntuación_Usuarios,Número_Usuarios,Desarrolladora,Clasificación_ESRB
Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8.0,322,Nintendo,E (6 años)
Wii,2008,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52,82.0,73.0,8.3,709,Nintendo,E (6 años)
Wii,2009,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8.0,192,Nintendo,E (6 años)
DS,2006,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8,89.0,65.0,8.5,431,Nintendo,E (6 años)
Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129,Nintendo,E (6 años)
Wii,2009,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32,87.0,80.0,8.4,594,Nintendo,E (6 años)
DS,2005,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,91.0,64.0,8.6,464,Nintendo,E (6 años)
Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146,Nintendo,E (6 años)
X360,2010,Misc,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106,Good Science Studio,E (6 años)
Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52,Nintendo,E (6 años)
PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994,Rockstar North,M (17 años)
PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9.0,1588,Rockstar North,M (17 años)
DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50,Nintendo,E (6 años)
X360,2013,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711,Rockstar North,M (17 años)
PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,730,Rockstar North,M (17 años)
DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19,Nintendo,E (6 años)
PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314,Polyphony Digital,E (6 años)
X360,2011,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713,"Infinity Ward, Sledgehammer Games",M (17 años)
X360,2010,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454,Treyarch,M (17 años)
PS3,2012,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922,Treyarch,M (17 años)
X360,2012,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256,Treyarch,M (17 años)
X360,2009,Shooter,Activision,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698,Infinity Ward,M (17 años)
PS3,2011,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234,"Infinity Ward, Sledgehammer Games",M (17 años)
PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,664,DMA Design,M (17 años)
Wii,2008,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84,93.0,81.0,8.9,1662,Game Arts,T (13 años)
3DS,2011,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66,85.0,73.0,8.2,632,"Retro Studios, Entertainment Analysis & Development Division",E (6 años)
PS3,2010,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094,Treyarch,M (17 años)
PS4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899,Rockstar North,M (17 años)
DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.7,242,Nintendo,E (6 años)
X360,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100,"Bungie Software, Bungie",M (17 años)
PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272,Polyphony Digital,E (6 años)
Wii,2007,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147,Nintendo,E (6 años)
X360,2008,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951,Rockstar North,M (17 años)
PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138,Polyphony Digital,E (6 años)
3DS,2011,Platform,Nintendo,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921,Nintendo,E (6 años)
PS3,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112,Polyphony Digital,E (6 años)
PS3,2009,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073,Infinity Ward,M (17 años)
PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833,Rockstar North,M (17 años)
X360,2013,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117,Infinity Ward,M (17 años)
Wii,2011,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16,Ubisoft,E10+ (10 años)
3DS,2012,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424,Nintendo,E (6 años)
X360,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045,Bungie,M (17 años)
PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282,SquareSoft,T (13 años)
X360,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7.0,3260,343 Industries,M (17 años)
PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135,Polyphony Digital,T (13 años)
Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24,Ubisoft,E10+ (10 años)
PS3,2013,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047,Infinity Ward,M (17 años)
X360,2007,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320,Infinity Ward,M (17 años)
3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626,Nintendo,E (6 años)
DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85,Hudson Soft,E (6 años)
X360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589,Bethesda Game Studios,M (17 años)
PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896,EA Sports,E (6 años)
XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218,Bungie Software,M (17 años)
Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54,Nd Cube,E (6 años)
Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190,Hudson,E (6 años)
PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348,Electronic Arts,E (6 años)
PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056,SquareSoft,T (13 años)
PC,2009,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886,The Sims Studio,T (13 años)
PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644,SquareSoft,T (13 años)
DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203,Game Freak,E (6 años)
PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451,Rockstar Leeds,M (17 años)
PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443,Sledgehammer Games,M (17 años)
PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5.0,398,"EA Sports, EA Vancouver",E (6 años)
Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854,Nintendo EAD Tokyo,E (6 años)
X360,2008,Shooter,Activision,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580,Treyarch,M (17 años)
X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142,EA DICE,M (17 años)
PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171,EA Black Box,E (6 años)
Wii,2009,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110,Ubisoft Paris,E10+ (10 años)
PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761,EA DICE,M (17 años)
PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228,Bethesda Game Studios,M (17 años)
PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367,Namco,T (13 años)
Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9.0,1658,Nintendo,T (13 años)
PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432,Naughty Dog,E (6 años)
WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599,Nintendo,E (6 años)
GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568,HAL Labs,T (13 años)
PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132,EA Canada,E (6 años)
PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135,EA LA,T (13 años)
Wii,2012,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28,Ubisoft,E10+ (10 años)
X360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739,Epic Games,M (17 años)
PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712,Naughty Dog,T (13 años)
PS3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993,Infinity Ward,M (17 años)
PS3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187,Naughty Dog,T (13 años)
DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27,Nintendo,E (6 años)
PS3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456,Rockstar San Diego,M (17 años)
PS3,2013,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576,EA Canada,E (6 años)
PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307,Ubisoft,M (17 años)
Wii,2010,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368,Retro Studios,E (6 años)
XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1283,Bungie Software,M (17 años)
PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527,Bethesda Game Studios,M (17 años)
GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9.0,222,Game Freak,E (6 años)
PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,597,SquareSoft,E (6 años)
X360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1163,"Bungie Software, Bungie",M (17 años)
X360,2010,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9.0,2316,Rockstar San Diego,M (17 años)
GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439,Nintendo,E (6 años)
PC,2004,Role-Playing,Activision,0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182,Blizzard Entertainment,T (13 años)
PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.1,78,Reflections Interactive,T (13 años)
X360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1504,Epic Games,M (17 años)
X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95,Rare Ltd.,E10+ (10 años)
X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2295,Epic Games,M (17 años)
PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988,EA Sports,E (6 años)
PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1026,KCEJ,M (17 años)
PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,918,KCEJ,M (17 años)
PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3558,Kojima Productions,M (17 años)
PS2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.6,972,Square Enix,T (13 años)
PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95.0,98.0,9.1,8003,Naughty Dog,M (17 años)
PS3,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5311,"SCE/WWS, Media Molecule",E (6 años)
PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,364,Capcom,M (17 años)
DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,197,Level 5,E10+ (10 años)
PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102,Namco,T (13 años)
PS4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76.0,95.0,6.1,5380,"Bungie Software, Bungie",T (13 años)
Wii,2007,Action,LucasArts,3.57,1.55,0.0,0.51,5.64,80.0,17.0,8.9,62,Traveller's Tales,E10+ (10 años)
DS,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,67.0,35.0,7.2,21,Taito Corporation,E (6 años)
PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1202,Ubisoft Montreal,M (17 años)
X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81.0,77.0,7.7,1074,Ubisoft Montreal,M (17 años)
X360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92.0,90.0,8.0,516,Turn 10,E (6 años)
GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84.0,19.0,7.8,41,Nintendo,E (6 años)
PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81.0,48.0,8.7,124,Capcom,T (13 años)
PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2162,Rocksteady Studios,T (13 años)
XOne,2014,Action,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,97.0,14.0,7.9,764,Rockstar North,M (17 años)
GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,93.0,24.0,8.3,108,Intelligent Systems,E (6 años)
PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66.0,22.0,7.1,156,Traveller's Tales,E (6 años)
PS3,2008,Shooter,Activision,2.73,1.83,0.0,0.83,5.39,85.0,45.0,7.6,409,Treyarch,M (17 años)
PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93.0,113.0,7.9,7064,Naughty Dog,T (13 años)
PS3,2009,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,83.0,83.0,7.3,2483,Square Enix,T (13 años)
PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94.0,22.0,8.9,779,SquareSoft,T (13 años)
X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.7,1196,Ubisoft,M (17 años)
PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85.0,45.0,6.6,400,SquareSoft,T (13 años)
XOne,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,81.0,53.0,5.4,898,Sledgehammer Games,M (17 años)
X360,2009,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,90.0,82.0,8.8,1305,Ubisoft Montreal,M (17 años)
WiiU,2012,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,84.0,70.0,8.1,733,Nintendo,E (6 años)
PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,89.0,63.0,8.8,245,Level 5,T (13 años)
DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,85.0,72.0,8.6,147,Level 5,E (6 años)
X360,2012,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90.0,48.0,6.1,403,Electronic Arts,E (6 años)
PC,2012,Role-Playing,Activision,2.44,2.16,0.0,0.54,5.14,88.0,86.0,4.0,9629,Blizzard Entertainment,M (17 años)
PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68.0,30.0,7.6,100,EA LA,T (13 años)
PS2,2006,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,92.0,69.0,8.5,112,Harmonix Music Systems,T (13 años)
X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80.0,88.0,6.5,604,Lionhead Studios,M (17 años)
PS3,2009,Action,Capcom,1.96,1.41,1.08,0.64,5.09,84.0,76.0,7.5,667,Capcom,M (17 años)
DS,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,90.0,57.0,8.0,416,Nintendo,E (6 años)
PS3,2010,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89.0,51.0,8.0,233,EA Sports,E (6 años)
PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,91.0,8.0,9.0,266,Capcom,M (17 años)
PSP,2006,Action,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,86.0,50.0,8.0,150,Rockstar Leeds,M (17 años)
PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,92.0,18.0,9.2,69,Neversoft Entertainment,T (13 años)
PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98,82.0,24.0,8.2,46,"Neversoft Entertainment, BudCat",T (13 años)
Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98,68.0,34.0,7.1,47,Nintendo,T (13 años)
X360,2008,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93,93.0,84.0,8.5,1655,Bethesda Game Studios,M (17 años)
PS3,2007,Action,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,88.0,66.0,8.1,2306,"Naughty Dog, SCE/WWS",T (13 años)
PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88.0,29.0,8.0,121,EA Sports,E (6 años)
PC,2010,Strategy,Activision,2.57,1.68,0.0,0.58,4.84,93.0,82.0,8.2,3052,Blizzard Entertainment,T (13 años)
PS3,2007,Adventure,Ubisoft,1.91,2.0,0.09,0.82,4.82,81.0,40.0,7.3,769,Ubisoft Montreal,M (17 años)
PS3,2010,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,92.0,101.0,8.7,2633,SCE Santa Monica,M (17 años)
PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,88.0,20.0,9.0,233,Naughty Dog,E (6 años)
DS,2007,Action,LucasArts,2.83,1.48,0.0,0.45,4.76,80.0,9.0,5.4,46,TT Fusion,E (6 años)
PS,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73,62.0,14.0,7.7,92,Reflections Interactive,T (13 años)
X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,94.0,87.0,8.7,1472,Rocksteady Studios,T (13 años)
PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68,98.0,19.0,7.7,299,Neversoft Entertainment,T (13 años)
PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,82.0,32.0,8.2,78,Stormfront Studios,T (13 años)
PS,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,91.0,13.0,8.6,147,Core Design Ltd.,T (13 años)
Wii,2008,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.62,73.0,50.0,7.6,119,Nintendo,E (6 años)
PS4,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,86.0,78.0,8.1,1264,Bluepoint Games,T (13 años)
GC,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,96.0,80.0,8.9,968,Nintendo,E (6 años)
Wii,2007,Misc,Activision,3.04,1.11,0.0,0.43,4.6,86.0,36.0,8.4,87,Vicarious Visions,T (13 años)
3DS,2013,Action,Nintendo,1.8,1.39,1.11,0.29,4.59,86.0,74.0,8.4,458,Next Level Games,E (6 años)
X360,2011,Racing,Microsoft Game Studios,2.08,1.97,0.06,0.46,4.57,91.0,83.0,8.2,617,Turn 10,E (6 años)
PS2,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,91.0,30.0,7.9,78,EA Tiburon,E (6 años)
X360,2007,Misc,Activision,3.19,0.91,0.01,0.42,4.53,85.0,69.0,7.9,165,Neversoft Entertainment,T (13 años)
PS2,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,84.0,29.0,8.2,39,EA Sports,E (6 años)
XOne,2015,Shooter,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.48,84.0,101.0,6.4,2438,343 Industries,T (13 años)
PS2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48,76.0,25.0,7.9,41,Treyarch,E (6 años)
PS4,2016,Shooter,Activision,1.61,2.0,0.15,0.71,4.46,77.0,82.0,3.4,1129,Infinity Ward,M (17 años)
PS2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,94.0,75.0,8.9,997,SCE Santa Monica,M (17 años)
WiiU,2015,Shooter,Nintendo,1.54,1.18,1.46,0.26,4.43,81.0,88.0,8.5,1184,Nintendo,E10+ (10 años)
WiiU,2012,Misc,Nintendo,2.52,1.11,0.46,0.33,4.42,77.0,61.0,7.9,471,Nintendo,E10+ (10 años)
PS2,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41,97.0,34.0,7.5,298,Neversoft Entertainment,T (13 años)
PS2,2006,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39,86.0,19.0,8.9,33,Konami,E (6 años)
X360,2006,Role-Playing,Take-Two Interactive,2.82,1.03,0.13,0.4,4.38,94.0,90.0,8.7,1109,Bethesda Softworks,M (17 años)
PS2,2005,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37,82.0,36.0,9.1,137,EA Canada,T (13 años)
Wii,2010,Misc,Ubisoft,2.64,1.33,0.01,0.39,4.36,56.0,37.0,8.3,31,"Ubisoft Paris, Ubisoft Montpellier",E10+ (10 años)
PS3,2006,Shooter,Sony Computer Entertainment,1.74,1.72,0.14,0.75,4.34,86.0,70.0,8.1,715,Insomniac Games,M (17 años)
PS2,2005,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33,87.0,64.0,9.0,766,Square Enix,E10+ (10 años)
WiiU,2013,Platform,Nintendo,2.11,1.16,0.73,0.32,4.32,93.0,83.0,9.0,1607,Nintendo,E (6 años)
X360,2008,Role-Playing,Microsoft Game Studios,2.51,1.24,0.11,0.41,4.27,89.0,95.0,6.5,2423,Lionhead Studios,M (17 años)
GBA,2001,Misc,Namco Bandai Games,3.0,1.11,0.05,0.07,4.24,79.0,10.0,7.3,6,Mass Media,E (6 años)
PS3,2009,Action,Eidos Interactive,2.24,1.31,0.07,0.61,4.23,91.0,70.0,8.9,1122,Rocksteady Studios,T (13 años)
PS2,2004,Action,Konami Digital Entertainment,1.46,0.0,0.83,1.93,4.23,91.0,68.0,9.3,955,KCEJ,M (17 años)
PS3,2011,Action,Ubisoft,1.41,2.01,0.1,0.7,4.22,80.0,39.0,7.5,613,Ubisoft Montreal,M (17 años)
XOne,2015,Role-Playing,Bethesda Softworks,2.51,1.32,0.01,0.38,4.22,88.0,39.0,6.2,1749,Bethesda Game Studios,M (17 años)
X360,2013,Sports,Electronic Arts,0.92,2.89,0.01,0.4,4.22,84.0,41.0,4.2,435,EA Canada,E (6 años)
PSP,2006,Platform,Sony Computer Entertainment,2.45,1.01,0.0,0.75,4.21,85.0,59.0,8.7,109,Ready at Dawn,E10+ (10 años)
PS2,2005,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21,80.0,32.0,7.8,47,EA Canada,E (6 años)
PS2,2003,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2,80.0,32.0,7.5,22,"SCEE, Zoe Mode",E (6 años)
PS3,2007,Racing,Sony Computer Entertainment,1.28,1.82,0.57,0.52,4.19,80.0,67.0,7.1,120,Polyphony Digital,E (6 años)
X360,2011,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19,80.0,77.0,7.2,564,Ubisoft Montreal,M (17 años)
PS3,2009,Fighting,Capcom,2.03,1.04,0.58,0.52,4.16,94.0,61.0,7.3,330,Capcom,T (13 años)
PS2,2002,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14,95.0,25.0,7.7,65,EA Sports,E (6 años)
PC,1997,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12,96.0,24.0,9.1,3161,Valve Software,M (17 años)
PC,2007,Role-Playing,Activision,2.57,1.52,0.0,0.0,4.09,91.0,46.0,7.9,785,Blizzard Entertainment,T (13 años)
PS4,2016,Shooter,Electronic Arts,1.1,2.15,0.21,0.61,4.08,88.0,31.0,8.4,809,EA DICE,M (17 años)
PS2,2007,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07,93.0,70.0,8.9,709,SCE Santa Monica,M (17 años)
X360,2010,Role-Playing,Bethesda Softworks,2.66,1.03,0.04,0.33,4.05,84.0,81.0,8.1,769,Obsidian Entertainment,M (17 años)
X360,2007,Racing,Microsoft Game Studios,2.35,1.27,0.03,0.41,4.05,90.0,66.0,8.3,381,Turn 10,E (6 años)
Wii,2007,Misc,Take-Two Interactive,2.12,1.47,0.05,0.42,4.05,56.0,27.0,6.0,44,Cat Daddy Games,E (6 años)
