Plataforma,Año_de_Lanzamiento,Género,Editor,Ventas_NA,Ventas_EU,Ventas_JP,Otras_Ventas,Ventas_Globales,Puntuación_Crítica,Número_Críticas,Puntuación_Usuarios,Número_Usuarios,Desarrolladora,Clasificación_ESRB
PS2,2002,Action,Activision,0.2,0.15,0.0,0.05,0.41,50.0,26.0,5.0,14,Treyarch,T (13 años)
PS3,2009,Puzzle,Namco Bandai Games,0.26,0.04,0.06,0.04,0.4,74.0,51.0,8.1,50,Bandai Namco Games,E (6 años)
PS,2001,Sports,Sony Computer Entertainment,0.23,0.15,0.0,0.03,0.4,62.0,10.0,8.8,4,989 Sports,E (6 años)
X360,2008,Action,Activision,0.36,0.02,0.0,0.03,0.4,68.0,57.0,8.6,87,Shaba Games,T (13 años)
X360,2010,Action,505 Games,0.21,0.15,0.0,0.04,0.4,43.0,51.0,5.6,70,Artificial Mind and Movement,T (13 años)
GC,2003,Platform,THQ,0.31,0.08,0.0,0.01,0.4,71.0,16.0,8.2,9,Avalanche Software,E (6 años)
Wii,2009,Misc,Ubisoft,0.27,0.09,0.0,0.04,0.4,43.0,7.0,7.1,7,7 Studios,E10+ (10 años)
X360,2007,Action,Ubisoft,0.36,0.01,0.0,0.03,0.4,51.0,23.0,4.7,30,Ubisoft Shanghai,M (17 años)
Wii,2010,Sports,Electronic Arts,0.36,0.02,0.0,0.02,0.4,79.0,43.0,8.5,20,EA Canada,E (6 años)
DS,2009,Role-Playing,Rising Star Games,0.26,0.03,0.1,0.02,0.4,77.0,10.0,8.6,46,Neverland,E (6 años)
PS4,2015,Role-Playing,Namco Bandai Games,0.17,0.15,0.02,0.06,0.4,72.0,59.0,6.8,315,Bandai Namco Games,T (13 años)
PS3,2013,Adventure,Konami Digital Entertainment,0.31,0.01,0.03,0.06,0.4,93.0,4.0,9.0,255,Konami,M (17 años)
PS2,2002,Misc,Midway Games,0.2,0.15,0.0,0.05,0.4,73.0,24.0,7.8,6,7 Studios,T (13 años)
PS2,2005,Role-Playing,Midway Games,0.2,0.15,0.0,0.05,0.4,59.0,38.0,5.7,20,Midway,T (13 años)
GC,2003,Sports,Electronic Arts,0.31,0.08,0.0,0.01,0.4,68.0,16.0,8.5,10,Electronic Arts,E (6 años)
X360,2007,Strategy,Codemasters,0.34,0.03,0.01,0.03,0.4,76.0,47.0,8.3,70,Triumph Studios,T (13 años)
PS2,2008,Action,Disney Interactive Studios,0.2,0.15,0.0,0.05,0.4,67.0,6.0,7.0,8,Traveller's Tales,T (13 años)
PS4,2016,Adventure,Square Enix,0.15,0.15,0.03,0.06,0.4,85.0,23.0,8.6,672,DONTNOD Entertainment,M (17 años)
GC,2005,Strategy,Nintendo,0.25,0.07,0.07,0.01,0.4,76.0,43.0,8.8,18,Kuju Entertainment,T (13 años)
WiiU,2013,Action,Nintendo,0.19,0.1,0.08,0.03,0.4,78.0,75.0,8.5,495,PlatinumGames,T (13 años)
PS3,2012,Action,Capcom,0.18,0.12,0.06,0.05,0.4,71.0,39.0,7.4,169,CyberConnect2,T (13 años)
PS2,2001,Racing,Acclaim Entertainment,0.2,0.15,0.0,0.05,0.4,61.0,11.0,5.7,18,Acclaim Studios Cheltenham,E (6 años)
PS3,2008,Platform,THQ,0.12,0.21,0.0,0.08,0.4,51.0,24.0,5.0,7,Heavy Iron Studios,E (6 años)
PS2,2004,Misc,Atari,0.33,0.01,0.0,0.05,0.4,66.0,12.0,4.3,6,Digital Eclipse,E (6 años)
PC,2013,Sports,Electronic Arts,0.01,0.36,0.0,0.03,0.4,87.0,6.0,4.6,441,EA Canada,E (6 años)
PS2,2005,Sports,Sony Computer Entertainment,0.33,0.01,0.0,0.05,0.4,81.0,32.0,9.0,21,989 Sports,E (6 años)
PSV,2012,Role-Playing,GungHo,0.2,0.01,0.16,0.03,0.4,66.0,21.0,7.8,111,Game Arts,T (13 años)
X360,2011,Shooter,Microsoft Game Studios,0.26,0.1,0.0,0.04,0.4,77.0,60.0,8.1,40,Twisted Pixel Games,T (13 años)
Wii,2006,Role-Playing,Activision,0.36,0.0,0.0,0.03,0.4,73.0,31.0,7.3,29,Vicarious Visions,T (13 años)
XB,2005,Racing,THQ,0.32,0.07,0.0,0.01,0.4,80.0,21.0,8.3,13,Rainbow Studios,E (6 años)
PC,2012,Action,Electronic Arts,0.02,0.31,0.0,0.07,0.4,86.0,7.0,6.6,286,Electronic Arts,E (6 años)
GC,2006,Action,Midway Games,0.31,0.08,0.0,0.01,0.4,57.0,24.0,6.7,6,"Pipeworks Software, Inc.",E10+ (10 años)
GC,2004,Simulation,Electronic Arts,0.24,0.14,0.0,0.02,0.4,73.0,19.0,8.4,16,Maxis,T (13 años)
PSP,2005,Fighting,THQ,0.36,0.0,0.0,0.03,0.4,81.0,30.0,8.5,37,Yuke's,T (13 años)
PC,2010,Action,Take-Two Interactive,0.17,0.17,0.0,0.05,0.4,77.0,46.0,7.9,1238,2K Czech,M (17 años)
XB,2001,Sports,Electronic Arts,0.35,0.03,0.0,0.02,0.4,76.0,15.0,7.5,6,Electronic Arts,E (6 años)
PS3,2008,Sports,Sega,0.13,0.2,0.0,0.07,0.4,67.0,31.0,7.4,7,Sumo Digital,E10+ (10 años)
Wii,2009,Simulation,Electronic Arts,0.35,0.02,0.0,0.03,0.4,61.0,23.0,7.1,36,Maxis,E10+ (10 años)
PS2,2003,Platform,Sony Computer Entertainment,0.19,0.15,0.0,0.05,0.4,73.0,39.0,8.3,22,Argonaut Games,T (13 años)
DS,2009,Action,Atari,0.24,0.12,0.0,0.04,0.4,55.0,17.0,6.0,7,Zen Studios,E (6 años)
GC,2004,Shooter,Activision,0.31,0.08,0.0,0.01,0.4,74.0,31.0,8.9,13,Exakt,T (13 años)
DS,2007,Role-Playing,D3Publisher,0.37,0.0,0.0,0.03,0.4,57.0,18.0,7.2,9,TOSE,E10+ (10 años)
DS,2006,Platform,Konami Digital Entertainment,0.31,0.02,0.04,0.03,0.4,85.0,51.0,8.3,87,Konami,T (13 años)
PS2,2005,Racing,Jester Interactive,0.33,0.01,0.0,0.05,0.4,71.0,7.0,8.5,8,Jester Interactive,E (6 años)
PS2,2004,Fighting,Konami Digital Entertainment,0.19,0.15,0.0,0.05,0.39,66.0,44.0,8.5,20,Yuke's,M (17 años)
X360,2007,Action,Eidos Interactive,0.12,0.22,0.0,0.05,0.39,77.0,33.0,8.3,39,Crystal Dynamics,T (13 años)
DS,2009,Adventure,Focus Home Interactive,0.06,0.3,0.0,0.04,0.39,57.0,8.0,3.1,9,"Frogwares, Mistic Software",E (6 años)
PS2,2007,Action,Take-Two Interactive,0.19,0.15,0.0,0.05,0.39,36.0,7.0,6.4,17,7 Studios,T (13 años)
XB,2005,Action,Activision,0.26,0.11,0.0,0.02,0.39,77.0,53.0,7.4,20,Treyarch,T (13 años)
PS2,2007,Racing,THQ,0.19,0.15,0.01,0.05,0.39,66.0,4.0,6.7,10,Juice Games,T (13 años)
3DS,2012,Action,Warner Bros. Interactive Entertainment,0.2,0.16,0.0,0.03,0.39,61.0,4.0,7.6,10,TT Games,E10+ (10 años)
Wii,2010,Action,Rising Star Games,0.2,0.11,0.04,0.03,0.39,84.0,68.0,8.8,184,Grasshopper Manufacture,M (17 años)
X360,2009,Fighting,THQ,0.2,0.15,0.0,0.04,0.39,71.0,59.0,6.3,23,Yuke's,T (13 años)
Wii,2011,Sports,Namco Bandai Games,0.14,0.0,0.25,0.01,0.39,69.0,9.0,7.0,8,Prope,E (6 años)
PS3,2012,Simulation,Namco Bandai Games,0.09,0.04,0.24,0.02,0.39,65.0,26.0,7.3,47,From Software,T (13 años)
PC,2010,Role-Playing,Electronic Arts,0.01,0.32,0.0,0.06,0.39,94.0,55.0,8.8,3559,BioWare,M (17 años)
PS3,2010,Action,Electronic Arts,0.13,0.2,0.0,0.07,0.39,38.0,27.0,2.8,23,EA Bright Light,T (13 años)
XB,2002,Shooter,Sega,0.29,0.08,0.0,0.01,0.39,72.0,30.0,7.3,9,Wow Entertainment,M (17 años)
3DS,2012,Role-Playing,Namco Bandai Games,0.18,0.04,0.15,0.02,0.39,70.0,53.0,7.3,146,"Monolith Soft, Banpresto",T (13 años)
PS3,2010,Sports,Electronic Arts,0.22,0.12,0.0,0.06,0.39,71.0,33.0,5.7,14,EA Canada,E (6 años)
X360,2010,Sports,Electronic Arts,0.27,0.09,0.0,0.03,0.39,75.0,30.0,7.0,24,EA Canada,E (6 años)
3DS,2011,Sports,Electronic Arts,0.36,0.01,0.0,0.03,0.39,49.0,18.0,5.3,16,EA Tiburon,E (6 años)
GC,2004,Misc,Nintendo,0.3,0.08,0.0,0.01,0.39,69.0,30.0,6.0,9,Namco,T (13 años)
PS3,2012,Action,Activision,0.19,0.14,0.0,0.06,0.39,77.0,32.0,8.2,87,High Moon Studios,T (13 años)
X360,2010,Role-Playing,Sega,0.23,0.12,0.0,0.04,0.39,63.0,68.0,7.2,201,Obsidian Entertainment,M (17 años)
XB,2003,Sports,Electronic Arts,0.29,0.08,0.0,0.01,0.39,92.0,27.0,8.7,25,EA Canada,E (6 años)
3DS,2011,Strategy,Ubisoft,0.25,0.06,0.05,0.03,0.39,44.0,18.0,5.3,9,Ubisoft,E10+ (10 años)
GBA,2004,Sports,Electronic Arts,0.28,0.1,0.0,0.01,0.39,79.0,9.0,7.6,5,Exient Entertainment,E (6 años)
Wii,2009,Action,Square Enix,0.21,0.07,0.08,0.03,0.39,66.0,53.0,7.6,70,Square Enix,T (13 años)
